food_id,food_name,meal_role,serving_size,kcal,carbohydrate,protein,fat,sugar,sodium
1,흰죽,한그릇,291.9,186.8,39.4,3.5,0.8,0.3,379.5
2,흑임자죽,한그릇,400.0,244.0,14.6,4.4,18.9,3.0,636.0
3,흑임자 죽,한그릇,259.0,274.5,42.4,5.7,8.7,0.4,336.7
4,흑미밥_찹쌀,밥,190.0,224.2,49.0,4.1,0.3,0.0,3.8
5,흑미밥,밥,390.0,460.2,100.8,8.3,0.7,0.1,11.7
6,훠궈_소고기,국물,100.0,93.0,6.8,4.8,5.1,1.1,390.0
7,훈제오리,반찬,200.0,518.0,7.7,53.7,30.3,0.8,1776.0
8,회무침_서대,반찬,300.0,315.0,45.9,22.6,4.6,22.3,1200.0
9,회무침_가오리,반찬,230.0,186.3,14.6,26.1,2.7,12.6,814.2
10,회무침,반찬,250.0,205.0,21.5,20.2,4.1,11.3,687.5
11,회덮밥_참치,한그릇,572.0,617.8,101.0,28.0,10.2,8.3,480.5
12,회덮밥_모듬,한그릇,410.0,594.5,72.8,37.3,17.0,12.6,635.5
13,회덮밥,한그릇,500.0,685.0,103.3,30.2,16.6,11.0,745.0
14,회냉면,한그릇,732.6,586.1,105.3,24.9,6.4,10.5,2153.8
15,황태해장국,국물,600.0,180.0,5.7,24.5,6.8,1.5,1536.0
16,황태콩나물찜,반찬,650.0,533.0,45.0,66.1,12.9,11.3,1586.0
17,황태구이_양념,반찬,170.0,244.8,10.0,35.1,6.4,4.0,516.8
18,황태구이,반찬,200.0,438.0,26.9,47.8,15.4,14.2,1136.0
19,화양적,반찬,150.0,273.0,21.3,13.6,14.8,1.2,796.5
20,홍합탕_홍합만,국물,100.0,29.0,2.3,3.7,0.6,0.0,303.0
21,홍합산적,반찬,80.0,156.8,10.6,17.8,4.8,3.3,720.0
22,홍합국(홍합탕),국물,300.0,51.0,2.2,8.4,0.7,0.1,90.0
23,홍합 소고기죽,한그릇,236.3,189.0,25.8,9.0,4.8,1.0,182.0
24,홍합 미역국,국물,300.0,15.0,1.0,2.1,0.5,0.0,234.0
25,홍합 미나리죽,한그릇,254.9,124.9,25.2,3.8,0.8,2.0,5.1
26,홍합 무국,국물,320.0,73.6,4.2,8.0,2.7,1.0,905.6
27,홍어회무침,반찬,136.5,83.3,9.1,11.3,0.6,3.7,578.8
28,홍어찜,반찬,250.0,102.5,3.7,18.0,1.4,0.7,667.5
29,홍어찌개,국물,625.0,318.8,19.7,48.1,6.1,4.9,525.0
30,홍어무침,반찬,200.0,198.0,26.0,17.9,2.6,14.5,802.0
31,혼합잡곡밥,밥,450.0,531.0,111.1,11.7,2.2,1.0,81.0
32,호박찌개_고추장,국물,280.0,114.8,16.7,5.8,2.8,1.6,590.8
33,호박찌개,국물,300.0,96.0,12.2,5.6,2.6,5.8,1023.0
34,호박죽,한그릇,600.0,348.0,80.0,6.6,1.3,23.8,636.0
35,호박전,반찬,50.0,71.0,6.1,1.8,4.3,0.8,91.0
36,호박잎 된장국,국물,180.0,30.6,4.6,2.3,0.7,1.0,329.4
37,호박오가리나물무침,반찬,100.0,201.0,21.5,6.1,10.0,6.8,1849.0
38,호박볶음_호박_채소,반찬,70.0,23.8,2.6,0.6,1.4,1.2,100.8
39,호박볶음_호박,반찬,70.0,18.9,2.5,0.6,0.9,1.1,163.8
40,호박나물,반찬,70.0,37.8,3.8,0.8,2.4,1.7,257.6
41,호박고지볶음,반찬,120.0,124.8,24.3,2.9,2.6,12.0,1093.2
42,호박 된장국,국물,170.0,28.9,3.7,2.0,0.7,0.8,360.4
43,현미죽,한그릇,100.0,64.0,15.2,1.2,0.4,0.4,1.0
44,현미밥_쌀,밥,370.0,444.0,96.8,8.0,0.7,0.1,11.1
45,현미밥,밥,370.0,447.7,95.9,8.5,1.4,0.7,3.7
46,햄채소볶음,반찬,210.0,140.7,8.0,13.2,6.4,4.2,701.4
47,햄전,반찬,56.9,113.8,4.7,5.8,7.8,0.4,170.7
48,햄샐러드,반찬,80.6,86.2,10.9,2.9,3.5,3.8,153.1
49,햄부침,반찬,80.5,177.9,12.5,12.4,8.1,0.6,331.7
50,햄볶음_채소,반찬,220.0,402.6,21.1,23.0,25.0,7.3,1766.6
51,햄구이,반찬,61.3,90.7,1.2,12.4,4.0,0.9,455.5
52,해파리냉채,반찬,85.0,26.4,4.8,1.3,0.4,2.7,272.8
53,해초무침,반찬,100.0,39.0,8.5,1.0,0.2,4.0,862.0
54,해장국_우거지,국물,600.0,156.0,13.5,11.9,5.9,2.5,2052.0
55,해장국_선지,국물,1000.0,310.0,16.7,49.3,5.4,3.9,3070.0
56,해장국_뼈다귀,국물,800.0,208.0,8.5,25.5,7.8,5.0,2768.0
57,해신탕,국물,100.0,57.0,2.0,7.9,1.9,0.4,266.0
