food_id,food_name,meal_role,serving_size,kcal,carbohydrate,protein,fat,sugar,sodium,recipe_steps,recipe_images,ingredients,na_tip,source
28,새우 두부 계란찜,반찬,,220.0,3.0,14.0,17.0,,99.0,"[""1. 손질된 새우를 끓는 물에 데쳐 건진다.a"", ""2. 연두부, 달걀, 생크림, 설탕에 녹인 무염버터를 믹서에 넣고 간 뒤 새우(1)를 함께 섞어 그릇에 담는다.b"", ""3. 시금치를 잘게 다져 혼합물 그릇(2)에 뿌리고 찜기에 넣고 중간 불에서 10분 정도 찐다.c""]","[""http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00028_1.png"", ""http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00028_2.png"", ""http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00028_3.png""]","새우두부계란찜
연두부 75g(3/4모), 칵테일새우 20g(5마리), 달걀 30g(1/2개), 생크림 13g(1큰술), 설탕 5g(1작은술), 무염버터 5g(1작은술)
고명
시금치 10g(3줄기)","나트륨의 배출을 도와주는 것으로 알려진 칼륨이 풍부한 시금치와 소금, 간장 등의 양념 대신 새우에 들어있는 간으로 맛을 내요.",samsam
29,부추 콩가루 찜,반찬,,215.0,20.0,14.0,9.0,,240.0,"[""1. 부추는 깨끗이 씻어 물기를 제거하고, 5cm 길이로 썰고 부추에 날콩가루를 넣고 고루 섞이도록 버무린다."", ""2. 찜기에 면보를 깔고 부추를 넣은 후 김이 오르게 쪄서 파랗게 익힌다."", ""3. 저염간장에 다진 대파, 다진 마늘, 고춧가루, 요리당 , 참기름, 참깨를 섞어 양념장을 만들고 찐 부추는 그릇에 담아낸다.""]","[""http://www.foodsafetykorea.go.kr/uploadimg/20230206/20230206054820_1675673300714.jpg"", ""http://www.foodsafetykorea.go.kr/uploadimg/20230206/20230206054834_1675673314720.jpg"", ""http://www.foodsafetykorea.go.kr/uploadimg/20230206/20230206054908_1675673348152.jpg""]","[1인분]조선부추 50g, 날콩가루 7g(1⅓작은술)
·양념장 : 저염간장 3g(2/3작은술), 다진 대파 5g(1작은술), 다진 마늘 2g(1/2쪽), 고춧가루 2g(1/3작은술), 요리당 2g(1/3작은술), 참기름 2g(1/3작은술), 참깨 약간","콩가루로 버무려 감칠맛과 고소한 맛으로 나트륨 사용량을 줄여보세요. 부추는 피를 맑게 하고 허약 체질을 개선하여 성인병을 예방하는데 효과가 있지만, 알레르기 체질이나 위장이 약한 사람은 부작용이 생길 수 있으니 주의하세요.",samsam
31,방울토마토 소박이,반찬,,45.0,9.0,2.0,1.0,,277.0,"[""1. 물기를 빼고 2cm 정도의 크기로 썰은 부추와 양파를 양념장에 섞어 양념속을 만든다."", ""2. 깨끗이 씻은 방울토마토는 꼭지를 떼고 윗부분에 칼로 십자모양으로 칼집을 낸다."", ""3. 칼집을 낸 방울토마토에 양념속을 사이사이에 넣어 버무린다.""]","[""http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00031_1.png"", ""http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00031_4.png"", ""http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00031_5.png""]","●방울토마토 소박이 : 
방울토마토 150g(5개), 양파 10g(3×1cm), 부추 10g(5줄기)
●양념장 : 
고춧가루 4g(1작은술), 멸치액젓 3g(2/3작은술), 다진 마늘 2.5g(1/2쪽), 매실액 2g(1/3작은술), 설탕 2g(1/3작은술), 물 2ml(1/3작은술), 통깨 약간","소금에 절이는 오이 대신 방울토마토를 사용하여 나트륨 섭취를 줄였어요. 토마토에는 과일에 대체로 없는 글루탐산이 풍부하여 감칠맛을 내주며, 겉절이 양념과 잘 어우러져 상큼함과 감칠맛을 내주어요.",samsam
33,사과 새우 북엇국,국물,,65.0,2.0,12.0,1.0,,78.0,"[""2. 북어채를 잘게 손으로 찢어 찬물에 헹구어 준비한 후 양파, 표고버섯, 사과는 채 썰고 새우는 등쪽의 두세 마디에 꼬챙이를 넣어 내장을 뺀 후 헹군다."", ""3. 찬물에 북어채, 새우, 표고버섯, 양파를 넣고 20분 정도 끓인 후 사과를 넣어 북어의 씁쓸한 맛을 없앤다."", ""5. 그릇에 담아낸다.""]","[""http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00033_2.png"", ""http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00033_3.png"", ""http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00033_5.png""]","북엇국
북어채 25g(15개), 새우 10g(3마리), 사과 30g(1/5개), 양파 40g(1/4개),
표고버섯 20g(2장), 물 300ml(1½컵)",소금과 간장 대신 북어채와 새우의 짠맛으로 간을 한 담백한 맛의 북엇국을 만들었어요. 홍합이나 바지락을 넣으면 시원한 국물을 연출 할 수 있어요.,samsam
36,저염 된장으로 맛을 낸 황태해장국,국물,,100.0,12.0,13.0,0.0,,361.0,"[""3. 황태는 손질하여 물에 헹궈 건져 놓고 콩나물은 다듬어 씻고 청양고추는 어슷썰기 한다."", ""4. 냄비에 물을 붓고 황태와 무를 넣고 끓인 후 육수에서 물을 건져내고 저염 된장을 푼다."", ""5. 콩나물, 다진 마늘, 청양고추를 넣고 뚜껑을 덮어 김이 나게 끓\n여준다.""]","[""http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00036_3.png"", ""http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00036_4.png"", ""http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00036_5.png""]","황태해장국
황태(채) 15g(10개), 콩나물 30g(1/6봉지), 무 30g(5×3×2cm), 저염된장 10g(2작은술), 물 300ml(1½컵), 청양고추 5g(1/2개), 다진 마늘 2g(1/3작은술)","황태해장국을 조리할 때 소금 대신 저염된장을 사용하면 덜 짜고 감칠맛 나는 황태해장국을 맛 볼 수 있어요.
황태는 빛이 누렇고 살이 연한 것이 좋은 상품이며, 황태는 냉동실에 보관하거나 잘 밀봉하여 건조하고 서늘한 곳에 보관하는 것이 좋아요.",samsam
37,된장국,국물,,20.0,3.0,2.0,0.0,,260.0,"[""1. 감자, 양파는 얇게 썰고 애느타리 버섯은 썰어 달궈진 팬에 굽는다."", ""2. 냄비에 물을 붓고 된장을 푼 뒤 감자, 양파, 두부를 넣어 재료가 투명해지게 끓인 후 된장국의 재료를 건져서 믹서에 넣어 갈고 된장국에 넣어 한번 더 끓인다."", ""3. 구운 애느타리버섯과 대파를 국에 넣어 끓인 후 그릇에 담는다.""]","[""http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00037_2.png"", ""http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00037_4.png"", ""http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00037_6.png""]","된장국
두부 20g(2×2×2cm), 애느타리버섯 20g(4가닥), 감자 10g(4×3×1cm), 양파 10g(2×1cm), 대파 10g(5cm), 된장 5g(1작은술), 물 300ml(1½컵)","된장국의 된장 사용량을 줄이기 위해 두부와 감자 등의 재료를 갈아 넣으면 담백한 된장국을 맛볼 수 있어요.
된장의 양을 적게 사용함으로 나트륨 섭취를 줄일 수 있어요.",samsam
38,표고버섯 청경채국,국물,,45.0,7.0,2.0,1.0,,2441.0,"[""1. 찬물에 표고버섯,머리와 내장을 제거한 멸치,\n다시마, 양파를 넣어 중간 불에서 10분 정도\n끓여 멸치육수를 만든다."", ""2. 육수의 표고버섯 기둥, 멸치, 다시마, 양파를 건진 후 표고버섯은 편으로 썰고 청경채는 4cm 크기로 썬다."", ""3. 끓는 육수에 준비한 표고버섯과 청경채를 넣고 국간장으로 간을 한 후 마늘을 넣어 한소끔 끓인다.""]","[""http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00038_1.png"", ""http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00038_2.png"", ""http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00038_4.png""]","●멸치육수 : 국물용 멸치 5g(3마리), 다시마 1장(5×1cm), 양파 10g(2×1cm), 표고버섯 기둥, 국간장 5g(1작은술), 물 300ml(1½컵)
●채소준비 : 청경채 20g(1개), 표고버섯 20g(2장), 다진 마늘 2g(1/3작은술)","표고버섯 밑둥을 육수에 넣어 감칠맛을 더하고, 멸치와 다시마는 다량의 소금 없이도 국물 맛을 깊게 만들어 주는 역할을 해요. 건표고버섯은 햇볕에 말리는 과정에서 만들어진 비타민 D가 풍부해 칼슘 흡수를 도와 골다공증 예방에 좋은 식품이예요. 생표고버섯에는 비타민 D가 거의 들어있지 않아요.",samsam
93,구운채소와 간장레몬 소스,반찬,,175.0,19.0,4.0,9.0,,38.0,"[""1. 저염간장, 식초, 레몬즙, 설탕을 혼합하여 간장레몬 소스를 만든다."", ""2. 호박, 가지, 새송이버섯은 3cm 길이로 자른 후 얇은 편으로 채 썰고, 양파, 파프리카, 피망은 호박 길이로 썬다."", ""3. 가지, 호박, 새송이버섯, 양파, 파프리카, 피망에 올리브유를 바르고 달궈진 그릴 팬에 구운 후 접시에 담고 발사믹 크레타를 뿌리고 간장레몬 소스를 곁들인다.""]","[""http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00093_1.png"", ""http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00093_2.png"", ""http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00093_3.png""]","●구운채소 : 가지 20g(3cm), 호박 50g(1/3개), 새송이버섯 15g(3개), 양파 15g(1/8개), 발사믹크레마 15g(1큰술), 빨강 파프리카 3g(3×1cm), 노랑 파프리카 3g(3×1cm), 청피망 3g(3×1cm), 올리브유 약간
●간장 레몬 소스 : 저염간장 5g(1작은술), 식초 15g(1큰술), 설탕 10g(1큰술), 레몬즙 5g(1작은술)","채소와 버섯류에는 대부분 나트륨 배출에 효과적인 칼륨이 함유되어 있어 채소를 많이 섭취하는 것이 저나트륨 식단의 기본이에요. 레몬즙은 음식의 짠맛을 감추고 간장과 함께 사용하면 간장의 감칠맛을 상승시키는 효
과도 있어요.",samsam
111,칠곡석류국수,한그릇,,73.4,12.7,2.1,1.6,,12.5,"[""1. 잣, 아몬드, 해바라기씨, 호두, 호박씨는 다진다."", ""2. 끓는 물에 저염소금과 식초를 넣은 후 소면을 삶은 후 체에 건져 물기를\n뺀다."", ""3. 석류는 물 600g와 함께 믹서에 갈고 체에 걸러 즙을 낸다. 그릇에 면을 담고 차갑게 식힌 석류즙을 붓고 견과류, 채 썬 오이를 고명으로 올린다.""]","[""http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00111_1.png"", ""http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00111_2.png"", ""http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00111_3.png""]","●주재료 : 소면 160g, 저염소금 4g(1작은술), 식초 8g(1/2작은술)
●소스 : 석류 200g(1/2개)
●장식 : 잣 4g(1작은술), 아몬드 4g(1작은술), 해바라기씨 4g(1작은술), 호두 4g(1작은술), 호박씨 4g(1작은술), 오이 20g(1/4개)","견과류에는 불포화 지방산이 풍부하게 함유되어 있어, 고지혈증 등 혈류개선에 효과가 있어 성인병 예방에 좋다. 짠맛을 대신하여 석류의 새콤달콤한 맛을 활용하고, 볶은 견과류로 고소한 맛과 풍미를 더하였다.",samsam
114,닭가슴살 브로콜리 만두,한그릇,,123.2,19.0,8.4,1.5,,167.9,"[""1. 브로콜리, 숙주, 표고버섯, 닭 가슴살은 다지고 다진 닭 가슴살은 소금과 후추로 밑간 한다."", ""2. 다진 채소와 닭가슴살, 참기름, 저염간장을 섞어 만두소를 만든다."", ""3. 준비한 만두피에 만두소를 넣은 후 만두 모양으로 빚고 만두를 찜통에 넣어 찌고 그릇에 담는다.""]","[""http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00114_1.png"", ""http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00114_3.png"", ""http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00114_4.png""]","주재료
만두피 4g(2장), 브로콜리 100g(1/4개), 숙주 100g, 표고버섯 20g(2개), 닭 가슴살 100g, 참기름 2g(1/2작은술), 저염간장 4g(1작은술), 소금 0.5g, 후춧가루 0.1g",칼륨 함량이 높은 브로콜리를 사용하여 나트륨 배출을 돕는다. 만두소는 저염간장으로 양념하고 별도로 초간장을 곁들이지 않아 나트륨섭취를 줄인다.,samsam
